symbol,price,adr,runup,base_depth,ext10,dvolM,trend200
TARS,78.0,3.6,68.8,15.6,-4.2,3.4,yes
DOCU,69.07,3.72,75.2,14.1,1.4,11.3,yes
PAYP,17.69,3.8,45.7,11.6,-1.0,0.8,n/a
GPRK,11.04,3.87,47.5,9.4,-4.5,0.6,yes
DUOL,141.94,3.87,48.8,12.8,-3.5,8.0,yes
YQ,3.79,3.88,131.9,39.1,2.3,0.0,yes
FIGS,13.06,3.94,66.3,17.1,-2.5,2.1,yes
PLTR,177.49,4.05,74.6,9.6,3.1,126.3,yes
SNOW,331.65,4.08,76.0,10.7,-0.0,79.4,yes
GTLB,49.23,4.2,85.3,8.8,1.7,14.3,yes
WLTH,10.07,4.22,41.9,17.7,-1.1,2.0,n/a
APPN,37.52,4.43,104.3,17.0,2.7,2.0,yes
AI,10.5,4.43,43.8,11.3,-1.1,3.9,yes
PRTS,8.5,4.57,136.1,25.4,-6.4,0.0,yes
CNH,13.46,4.59,44.1,8.0,-2.0,18.7,yes
SPT,10.18,4.59,80.8,13.7,-6.3,1.5,yes
TOP,15.16,4.64,124.4,6.3,0.8,0.0,yes
COHU,57.77,4.65,49.4,19.0,7.8,2.2,yes
SENS,9.58,4.75,110.0,14.5,5.4,0.3,yes
AESI,13.57,4.87,52.2,12.6,-1.2,2.0,yes
YEXT,6.14,4.93,68.9,9.3,-3.1,0.6,yes
WIX,78.44,4.94,115.5,18.5,0.6,5.6,yes
GAME,3.33,5.15,56.0,22.6,-0.7,0.0,yes
CMPS,15.17,5.32,49.6,17.7,5.8,1.8,yes
SMMT,17.86,5.36,55.9,10.8,1.7,5.9,yes
OESX,27.4,5.38,220.2,25.3,-0.6,0.1,yes
IOT,39.56,5.4,56.7,17.2,-1.2,18.9,yes
SEI,69.69,5.4,64.6,23.7,8.2,10.5,yes
TITN,23.79,5.48,61.3,15.7,-1.5,0.4,yes
APPS,10.66,5.5,55.0,14.1,-5.0,1.0,yes
SG,7.22,5.6,47.8,12.2,4.4,2.5,yes
ANL,15.82,5.69,88.5,9.8,3.4,0.2,yes
HPE,60.73,5.73,52.6,17.1,5.8,66.2,yes
NBIS,223.49,5.76,74.7,19.8,0.1,96.1,yes
NVAX,10.1,6.04,50.1,15.1,3.8,2.6,yes
LITE,931.63,6.24,72.3,18.9,2.0,119.6,yes
SRPT,20.14,6.49,57.4,15.5,-3.5,3.1,yes
IREN,46.7,6.64,70.4,16.9,5.7,45.7,yes
CMRC,3.33,6.73,89.5,35.4,4.7,0.2,yes
AEHR,93.42,7.07,61.2,23.9,4.4,6.9,yes
INBX,110.08,7.14,63.1,25.4,-0.2,2.1,yes
